# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

4.873235050870712 52098.82436112912
4.921967401379419 50856.194385498
4.971187075393213 49706.41800236264
5.020898946147145 48521.67669473656
5.071107935608617 47425.339881523105
5.121819014964703 46295.75791226299
5.173037205114349 45250.347125057924
5.224767577165493 44173.32528865466
5.277015252937148 43176.446502358274
5.329785405466519 42149.50944724181
5.383083259521184 41198.8824145406
5.436914092116396 40219.67267799702
5.49128323303756 39313.12546530487
5.546196065367936 38379.397797528814
5.6016580260216156 37514.86158717254
5.657674606281832 36624.47755304393
5.71425135234465 35799.98169647955
5.771393865868097 34950.904539595685
5.829107804526778 34164.57185130838
5.887398882572046 33354.86160638059
5.946272871397766 32604.90388519901
6.005735600111744 31832.712729974293
6.065792956112861 31117.426496946853
6.126450885673989 30380.994327389908
6.18771539453073 29698.75677034501
6.249592548476037 28996.40699273676
6.312088473960797 28345.672106669954
6.375209358700405 27675.80763180391
6.438961452287409 27055.102545520185
6.503351066810283 26416.20197895897
6.568384577478386 25824.12345989277
6.6340684232531695 25214.73747501996
6.700409107485701 24649.94860208976
6.767413198560558 24068.696489962927
6.8350873305461635 23529.923487412278
6.903438203851625 22975.489872849575
6.9724725858901415 22461.519096413453
7.042197311749043 21959.19058942295
7.1126192848665335 21442.325882172387
7.183745477715199 20963.101131992826
7.255582932492351 20470.04806583619
7.328138761817275 20012.85075419516
7.401420149435448 19542.498207973404
7.4754343509298025 19106.30273612983
7.5501886944391 18657.592041392265
7.625690581383491 18241.42111478798
7.701947487197327 17813.343552901224
7.7789669620693 17416.265882242384
7.8567566316899935 17007.860301842375
7.935324198006893 16628.988414496933
8.014677439986961 16239.33896443796
8.094824214386831 15877.827120958582
8.1757724565307 15506.061091724718
8.257530181096007 15161.103302529977
8.340105482906967 14806.389072012325
8.423506537736037 14477.21720917329
8.507741603113397 14138.762287343257
8.59281901914453 13824.644287035648
8.678747209335976 13501.693454171751
8.765534681429335 13201.931605384108
8.853190028243628 12893.765140279813
8.941721928526064 12607.69445527846
9.031139147811325 12328.055666414308
9.12145053928944 12040.613111485434
9.212665044682334 11773.734309848727
9.304791695129158 11499.429749522173
9.39783961208045 11244.720728378552
9.491818008201255 10982.945510556025
9.586736188283268 10739.843693903811
9.682603550166101 10490.017706872713
9.779429585667762 10257.986841705635
9.87722388152444 10019.55716102425
9.975996120339685 9798.086072251937
10.075756081543082 9570.525672482438
10.176513642358513 9359.127077355148
10.278278778782099 9141.933605466586
10.381061566569919 8940.1429844744
10.484872182235618 8732.837591791154
10.589720904057975 8540.212113575468
10.695618113098554 8342.338343917525
10.80257429422954 8158.455841479974
10.910600037171836 7978.683190640528
11.019706037543555 7794.036567778035
11.12990309791899 7622.415476018622
11.24120212889818 7446.155778083186
11.353614150187163 7282.311324385193
11.467150291689034 7114.052199520981
11.581821794605924 6957.626925309879
11.697640012551982 6797.000044323768
11.814616412677502 6647.653130928285
11.932762576804278 6494.307336961474
12.05209020257232 6351.713822274674
12.172611104598042 6205.314321030916
12.294337215644022 6069.164353383225
12.417280587800462 5929.391942009696
12.541453393678466 5799.390069558162
12.666867927615252 5665.940402138484
12.793536606891404 5541.804895978633
12.921471972960319 5414.387784104565
13.050686692689922 5295.849993543822
13.18119355961682 5174.1887400705655
13.31300549521299 5060.992478516842
13.446135550165119 4950.30887939938
13.58059690566677 4836.724203034364
13.716402874723437 4731.023063111755
13.853566903470671 4622.560593541296
13.99210257250538 4521.614238830482
14.132023598230433 4418.0395442729305
14.273343834212737 4321.630843119665
14.416077272554864 4222.720363277156
14.560238045280412 4130.642232422192
14.705840425733216 4036.182768391309
14.852898829990549 3948.2377024740226
15.001427818290454 3858.025930805778
15.151442096473358 3774.025554076347
15.302956517438092 3687.8675639156827
15.455986082612473 3607.632203202809
15.610545943438597 3525.34305530882
15.766651402872983 3448.701333137371
15.924317916901712 3370.104639817046
16.083561096070728 3296.893086776174
16.244396707031434 3221.8206117022096
