# NAME         ADOPTED                  XSL                   NGSL
X0190V    4098  1.19 -0.01 100.0  4098  1.19 -0.01 ng156V  4099  1.34  0.07              Star # XSL
X0092V    4109  2.29  0.03 100.0  4109  2.29  0.03      0     0  0.00  0.00              Star # XSL
X0449V    4118  1.36 -0.61 100.0  4118  1.36 -0.61      0     0  0.00  0.00              RGB* # XSL
X0158V    4130  2.27  0.06 100.0  4130  2.27  0.06      0     0  0.00  0.00              Star # XSL
X0450V    4157  1.29 -0.66 100.0  4157  1.29 -0.66      0     0  0.00  0.00              RGB* # XSL
X0277V    4172  0.39 -1.53 100.0  4172  0.39 -1.53      0     0  0.00  0.00           RVTauV* # XSL (SB based on old estimates), HD 144921
X0075V    4369  4.62 -0.55 100.0  4185  4.62 -0.45 ng021V  4045  4.54 -0.58           HighPM* # SB
X0448V    4189  1.17 -0.97 100.0  4189  1.17 -0.97      0     0  0.00  0.00              RGB* # XSL
X0163V    4191  1.63 -0.31 100.0  4191  1.63 -0.31      0     0  0.00  0.00              Star # XSL
X0421V    4192  1.25 -0.11 100.0  4192  1.25 -0.11      0     0  0.00  0.00              Star # XSL
X0615V    4192  2.54  0.36 100.0  4192  2.54  0.36      0     0  0.00  0.00              RGB* # XSL
X0181V    4195  2.08 -0.03 100.0  4195  2.08 -0.03      0     0  0.00  0.00              Star # XSL
X0085V    4239  1.50 -0.75 100.0  4239  1.50 -0.75      0     0  0.00  0.00              Star # XSL (better logg than SB)
X0002V    4250  2.55  0.45 100.0  4250  2.55  0.45      0     0  0.00  0.00              Star # TiO2: XSL better Teff
X0156V    4263  2.01 -0.10 100.0  4263  2.01 -0.10      0     0  0.00  0.00              Star # XSL
X0010V    4270  0.49 -0.51 100.0  4270  0.49 -0.51      0     0  0.00  0.00             RedSG # XSL
X0203V    4276  1.83  0.02 100.0  4276  1.83  0.02      0     0  0.00  0.00              Star # XSL
X0006V    4286  1.66 -0.71 100.0  4287  1.86 -0.83      0     0  0.00  0.00              RGB* # Jonsson 2020AJ....160..120J
X0326V    4289  2.59  0.33 100.0  4289  2.59  0.33      0     0  0.00  0.00              Star # XSL
X0064V    4300  2.38 -0.13 100.0  4300  2.38 -0.13      0     0  0.00  0.00              RGB* # XSL
X0624V    4310  0.64 -2.06 100.0  4310  0.64 -2.06      0     0  0.00  0.00              Star # XSL
X0065V    4370  1.60 -0.85 100.0  4321  1.72 -0.88      0     0  0.00  0.00              RGB* # SB
X0218V    4341  2.01 -0.26 100.0  4354  2.08 -0.24 ng189V  4390  2.36 -0.10           HighPM* # SB
X0628V    4327  2.69  0.30 100.0  4361  2.81  0.23      0     0  0.00  0.00              Star # XSL, average of two values 
X0009V    4363  0.58 -0.64 100.0  4363  0.58 -0.64      0     0  0.00  0.00        RedSG_Cand # XSL
X0136V    4359  0.90 -2.08 100.0  4379  0.77 -2.21 ng116V  4508  1.93 -1.78          ChemPec* # SB (NGSL logg too high)
X0461V    4381  1.12 -0.20 100.0  4381  1.12 -0.20      0     0  0.00  0.00      LongPeriodV* # XSL
X0308V    4385  2.15 -0.74 100.0  4385  2.15 -0.74      0     0  0.00  0.00           HighPM* # XSL
X0425V    4391  1.05 -0.58 100.0  4391  1.05 -0.58      0     0  0.00  0.00        RedSG_Cand # XSL
X0228V    4417  1.02 -1.92 100.0  4398  0.81 -2.25      0     0  0.00  0.00          ChemPec* # SB
X0182V    4399  2.07 -0.27 100.0  4399  2.07 -0.27      0     0  0.00  0.00              Star # XSL 
X0361V    4428  2.81  0.12 100.0  4428  2.81  0.12      0     0  0.00  0.00           HighPM* # XSL
X0631V    4396  0.95 -1.83 100.0  4431  0.99 -1.78      0     0  0.00  0.00              RGB* # Meszaros2020MNRAS.492.1641M
X0272V    4445  1.00 -1.65 100.0  4445  1.00 -1.65      0     0  0.00  0.00           HighPM* # XSL
X0391V    4445  1.03 -1.75 100.0  4445  1.03 -1.75      0     0  0.00  0.00              Star # XSL
X0131V    4452  2.27 -0.26 100.0  4452  2.27 -0.26 ng111V  4464  2.43 -0.19           HighPM* # XSL
X0327V    4454  2.88  0.08 100.0  4454  2.88  0.08 ng310V  4451  2.94  0.23           HighPM* # XSL
X0236V    4460  0.95 -2.34  10.0  4460  0.95 -2.34      0     0  0.00  0.00               SB* # Spec. Bin. (DECREASED S/N) 
X0057V    4467  1.65 -1.20 100.0  4467  1.65 -1.20      0     0  0.00  0.00              RGB* # XSL (SB Teff too low) 
X0195V    4476  2.04 -0.59  10.0  4476  2.04 -0.59      0     0  0.00  0.00                C* # XSL (very low TEff), DECREASED S/N
X0061V    4478  2.53  0.33 100.0  4478  2.53  0.33      0     0  0.00  0.00              RGB* # XSL
X0428V    4492  4.56 -1.57 100.0  4492  4.56 -1.57      0     0  0.00  0.00           HighPM* # XSL
X0137V    4498  3.10  0.17 100.0  4498  3.10  0.17 ng120V  4552  3.17  0.24           HighPM* # XSL (SB Teff too high)
X0165V    4501  1.77 -0.03 100.0  4501  1.77 -0.03      0     0  0.00  0.00              Star # XSL
X0409V    4501  4.62 -1.14 100.0  4501  4.62 -1.14      0     0  0.00  0.00           HighPM* # XSL (SB logg a bit too low)
X0394V    4504  1.12 -1.81  10.0  4504  1.12 -1.81      0     0  0.00  0.00               SB* # Spec. Bin. (DECREASED S/N)  
X0632V    4520  1.47 -1.18 100.0  4520  1.47 -1.18      0     0  0.00  0.00          ChemPec* # XSL
X0132V    4590  1.34  0.19 100.0  4525  0.91 -0.01      0     0  0.00  0.00             RedSG # SB (based on Luck 2014: 4626 1.50 0.26) 
X0003V    4528  2.55 -0.31 100.0  4528  2.55 -0.31      0     0  0.00  0.00              RGB* # XSL 
X0634V    4545  2.59  0.23 100.0  4545  2.59  0.23      0     0  0.00  0.00              Star # XSL
X0174V    4571  2.64 -0.03 100.0  4571  2.64 -0.03      0     0  0.00  0.00              Star # XSL
X0094V    4591  2.25 -0.08 100.0  4591  2.25 -0.08 ng065V  4596  2.26 -0.04              Star # XSL
X0390V    4563  1.48 -1.69 100.0  4607  1.29 -1.81      0     0  0.00  0.00          ChemPec* # SB 
X0398V    4614  2.74 -0.10 100.0  4614  2.74 -0.10      0     0  0.00  0.00              Star # XSL
X0042V    4694  2.65 -0.02 100.0  4619  2.65  0.05      0     0  0.00  0.00              Star # PERDELWITZ2024A&A...683A.125P
X0004V    4631  2.52 -0.09 100.0  4631  2.52 -0.09      0     0  0.00  0.00              RGB* # XSL
X0095V    4631  2.71 -0.19 100.0  4631  2.71 -0.19      0     0  0.00  0.00                ** # XSL
X0184V    4634  2.25  0.00 100.0  4634  2.25  0.00      0     0  0.00  0.00              Star # XSL
X0033V    4638  1.23 -1.65  10.0  4638  1.23 -1.65      0     0  0.00  0.00               SB* # XSL, Spec. Bin. (DECREASED S/N)  
X0157V    4645  1.22  0.13 100.0  4638  1.08 -0.03      0     0  0.00  0.00             RedSG # SB
X0252V    4638  4.69 -0.01 100.0  4638  4.69 -0.01      0     0  0.00  0.00           HighPM* # Luck2017AJ....153...21L
X0638V    4695  1.55 -2.37 100.0  4638  1.35 -2.35      0     0  0.00  0.00              RGB* # SB
X0306V    4640  2.04 -0.24 100.0  4640  2.04 -0.24      0     0  0.00  0.00              Star # XSL 
X0147V    4644  1.72 -1.20 100.0  4644  1.72 -1.20 ng129V  4657  2.31 -1.09           HighPM* # XSL (more consistent to SB than NGSL)
X0639V    4644  2.34 -0.31 100.0  4644  2.34 -0.31      0     0  0.00  0.00              Star # XSL
X0183V    4663  2.50 -0.11  10.0  4663  2.50 -0.11      0     0  0.00  0.00               SB* # XSL, Spec. Bin. (DECREASED S/N)  
X0020V    4599  1.36 -2.39 100.0  4664  1.47 -2.34      0     0  0.00  0.00          ChemPec* # SB (XSL: logg a bit low)
X0106V    4699  4.58 -0.21 100.0  4699  4.58 -0.21 ng370V  4718  4.50 -0.07           HighPM* # XSL (SB T too high wrt NGSL and XSL)
X0429V    4520  4.63 -1.61 100.0  4704  4.76 -1.46      0     0  0.00  0.00           HighPM* # SB
X0150V    4709  2.47 -0.31 100.0  4709  2.47 -0.31      0     0  0.00  0.00           HighPM* # XSL
X0022V    4716  1.56 -1.77 100.0  4716  1.56 -1.77      0     0  0.00  0.00          ChemPec* # XSL
X0342V    4653  1.31 -2.23  10.0  4716  1.57 -2.31      0     0  0.00  0.00               SB* # Jonsson2020AJ....160..120J, Spec. Bin. (DECREASED S/N)  
