X0085V    4239  1.50 -0.75 100.0               Star # XSL (better logg than SB)
X0618V    4242  1.07 -1.23 100.0               RGB* # M5_IV-19 XSL, similar to Sharma parameters: m0930V  4251.0    0.90  -1.290
X0002V    4250  2.55  0.45 100.0               Star # TiO2: XSL better Teff
X0156V    4263  2.01 -0.10 100.0               Star # XSL
X0010V    4270  0.49 -0.51 100.0              RedSG # XSL
X0203V    4276  1.83  0.02 100.0               Star # XSL
X0006V    4286  1.66 -0.71 100.0               RGB* # Jonsson 2020AJ....160..120J
X0326V    4289  2.59  0.33 100.0               Star # XSL
X0064V    4300  2.38 -0.13 100.0               RGB* # XSL
X0624V    4310  0.64 -2.06 100.0               Star # XSL
X0065V    4370  1.60 -0.85 100.0               RGB* # SB
X0627V    4326  1.79 -0.90 100.0               RGB* # XSL, AE: 4353 1.95 -0.54 (m0951V)
X0218V    4341  2.01 -0.26 100.0            HighPM* # SB
X0628V    4327  2.69  0.30 100.0               Star # XSL, average of two values 
X0009V    4363  0.58 -0.64 100.0         RedSG_Cand # XSL
X0136V    4359  0.90 -2.08 100.0           ChemPec* # SB
X0461V    4381  1.12 -0.20 100.0       LongPeriodV* # XSL
X0308V    4385  2.15 -0.74 100.0            HighPM* # XSL
X0425V    4391  1.05 -0.58 100.0         RedSG_Cand # XSL
X0228V    4417  1.02 -1.92 100.0           ChemPec* # SB
X0182V    4399  2.07 -0.27 100.0               Star # XSL 
X0361V    4428  2.81  0.12 100.0            HighPM* # XSL
X0631V    4396  0.95 -1.83 100.0               RGB* # Meszaros2020MNRAS.492.1641M
X0272V    4445  1.00 -1.65 100.0            HighPM* # XSL
X0391V    4445  1.03 -1.75 100.0               Star # XSL
X0131V    4452  2.27 -0.26 100.0            HighPM* # XSL
X0327V    4471  2.20  0.11 100.0            HighPM* # SB (XSL: logg is a bit too high)
X0236V    4460  0.95 -2.34  10.0                SB* # Spec. Bin. (DECREASED S/N) 
X0057V    4467  1.65 -1.20 100.0               RGB* # XSL (SB Teff too low) 
X0195V    4476  2.04 -0.59  10.0                 C* # XSL (very low TEff), DECREASED S/N
X0061V    4478  2.53  0.33 100.0               RGB* # XSL
X0428V    4492  4.56 -1.57 100.0            HighPM* # XSL
X0137V    4498  3.10  0.17 100.0            HighPM* # XSL (SB Teff too high)
X0165V    4501  1.77 -0.03 100.0               Star # XSL
X0409V    4501  4.62 -1.14 100.0            HighPM* # XSL (SB logg a bit too low)
