XSL_HD214080_SIGrMILES.fits              0837 HD214080             HD214080             X0381V
XSL_HD216143_SIGrMILES.fits              0847 HD216143             HD216143             X0383V
XSL_HD216219_SIGrMILES.fits              0848 HD216219             HD216219             X0384V
XSL_HD218502_SIGrMILES.fits              0860 HD218502             HD218502             X0387V
XSL_HD218857_SIGrMILES.fits              0863 HD218857             HD218857             X0389V
XSL_HD221170_SIGrMILES.fits              0880 HD221170             HD221170             X0393V
XSL_BDp195116B_SIGrMILES.fits            0884 BDp195116B           BD+195116B           X0028V
XSL_HD18907_SIGrMILES.fits               0105 HD18907              HD018907             X0112V
XSL_HD37828_SIGrMILES.fits               0187 HD37828              HD037828             X0138V
XSL_HD52973_SIGrMILES.fits               0240 HD52973              HD052973             X0170V
XSL_HD81797_SIGrMILES.fits               0347 HD81797              HD081797             X0209V
XSL_BS4432_SIGrMILES.fits                0413 BS4432               HD099998             X0037V
