#ID    T_XSL  gXSL  fXSL  T_SB  g_SB  f_SB  TL17  gL17  fL17  TL18  gL18  fL18  T_MA  g_MA  f_MA  TL14  gL14  fL14    T_JO  g_JO  f_JO  T_KU  g_KU  f_KU N_LI   T_LI   sigT  g_LI sigg   f_LI  sigf   NGSL TNGSL gNGSL fNGSL             SP_TYPE                  Simbad_NAME     
X0444V  3438  1.16 -0.47     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3438.0    0.0  1.16 0.00 -0.470 0.000      0     0  0.00  0.00                   M6                      Mira                     V* V1334 Sgr
X0008V  3453  0.67 -0.12     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3453.0    0.0  0.67 0.00 -0.120 0.000      0     0  0.00  0.00                   M4                      AGB*                        [B86] 133
X0432V  3469  0.59 -0.82     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3469.0    0.0  0.59 0.00 -0.820 0.000      0     0  0.00  0.00                 M5Ia                     RedSG                     SV* HV  2602
X0427V  3489  4.85 -0.57     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3544.5   81.8  4.72 0.18 -0.585 0.022      0     0  0.00  0.00               sdM2.0                 Low-Mass*                         G  11-35
X0477V  3491  0.23 -0.54     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3491.0    0.0  0.23 0.00 -0.540 0.000      0     0  0.00  0.00                M5/S2                      Mira                     SV* HV 12179
X0412V  3499  4.80  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00  3632  4.70  0.12   7  3632.0  146.6  4.78 0.17  0.170 0.224      0     0  0.00  0.00                  M2V                   HighPM*                       LP  802-68
X0253V  3521  4.79 -0.25     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00  3604  4.79 -0.09     0  0.00  0.00  3806.1  4.74 -0.60  3680  4.59  0.05  30  3648.0  110.5  4.75 0.09  0.220 0.267      0     0  0.00  0.00                  M2V                   HighPM*                        HD 119850
X0419V  3522  0.09  0.25     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   3  3551.0  214.6  0.10 0.57 -0.677 0.613      0     0  0.00  0.00                 M0.5              LongPeriodV*                     SV* HV  2555
X0447V  3533  1.18 -0.50     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3533.0    0.0  1.18 0.00 -0.500 0.000      0     0  0.00  0.00                    ~                      Mira              OGLE BLG-LPV-112084
X0446V  3546  1.08 -0.55     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3546.0    0.0  1.08 0.00 -0.550 0.000      0     0  0.00  0.00                    ~                      Mira              OGLE BLG-LPV-101601
X0417V  3553  0.31 -0.09     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   4  3410.0  391.6  0.38 0.33 -0.090 0.351      0     0  0.00  0.00                   M3              LongPeriodV*                     SV* HV  2255
X0476V  3558  0.21 -0.35     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   3  3612.0   61.6  0.01 0.15 -0.942 0.427      0     0  0.00  0.00            M1-2/S3-4                      AGB*                     SV* HV 11366
X0475V  3562 -0.03 -0.30     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3562.0    0.0 -0.03 0.00 -0.300 0.000      0     0  0.00  0.00             M3Ia-Iab                     RedSG                     SV* HV 11223
X0431V  3574  0.34 -0.05     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   6  3796.0  142.6  0.52 0.15 -0.635 0.205      0     0  0.00  0.00              M3.5Iae                     RedSG                     SV* HV  5870
