typed ident		 identifier		 typ	    coord1 (ICRS,J2000/2000)		      pm	     plx	rv/z      Mag B	   Mag V     Mag R     Mag I     Mag J	   Mag H     Mag K     spec. type      
------------ ----------------------------------- --- --------------------------------------- -------------------- ---------- ----------- --------- --------- --------- --------- --------- --------- --------- ---------------------
BD+51_1696   BD+51 1696 			 Pe* 11 46 35.1556060454 +50 52 54.680145444 -868.720 -544.104    14.1593      64.447502 10.47  	~    9.5	    ~	 8.678     8.375     8.306     sdG0		    
BD+59_2723   BD+59 2723 			 SB* 23 26 32.8574602006 +60 37 42.846968726  460.399 37.401	  6.9191     -105.85	 10.92  	~    10.1	    ~	 9.380     9.059     9.056     sdF8		    
BD+61_2575   BD+61 2575 			 *   23 58 10.5640050384 +62 36 36.186449148   -1.978 -0.426	  0.1887      -54	 9.54	   8.47 	  ~	    ~	 6.151     5.743     5.580     F8Ib:		    
BD+66_0268   BD+66 268  			 PM* 03 31 17.4003449284 +66 43 49.024902152 1191.493 -1066.358   20.1555    -161.475	 10.57     9.91      9.30      8.87	 8.535     8.165     8.069     G0		    
BD+80_0245   BD+80 245  			 Pe* 08 11 06.2398198478 +79 54 29.556322137 136.700 -367.493	  4.3118     	4.97	 10.50     9.96      9.88	    ~	 8.711     8.333     8.261     G0		    
CD-22_11298  CD-22 11298			 Or* 16 01 25.6301810064 -22 40 40.289030832 -12.012 -23.588	  7.0591       -5.948040 13.02     13.44	  ~	    ~	 9.324     8.706     8.523     K1IV		    
CD-26_10417  CD-26 10417			 **  14 39 47.0250367116 -26 41 53.048173901  26.702 -33.425	  22.3835      13.60	 10.751    9.781     9.810	    ~	 7.668     7.126     6.980     K4V		    
CD-28_09374  CD-28 9374 			 PM* 12 14 29.7440794680 -29 35 55.675768848 -26.470 -119.176	  3.9262       30.741	 11.11     10.25	  ~	    ~	 8.652     8.203     8.116     ~		    
G004-036     G 4-36				 PM* 02 43 22.0483919796 +13 25 56.981522451 339.332 -147.181	  5.2633      221.53	 11.989    11.471    11.133    10.795	 10.362    10.058    10.012    ~		    
G056-036     BD+20 2594 			 PM* 11 23 16.2307856395 +19 53 37.663112839 -327.757 -315.129    8.1336       98.39	 10.51  	~    9.6	    ~	 8.894     8.642     8.576     F9		    
G083-029     G 83-29				 PM* 04 39 43.2612804472 +09 51 46.744319477 -31.816 -366.311	  33.8912     -13.74	 14.6		~    12.5	    ~	 10.263    9.715     9.421     M3V		    
G102-004     G 102-4				 Er* 05 28 56.513448 +12 31 53.50512		 93.0 -211.0	  39.5         17.300	 15.572    13.924    13.524	    ~	 9.649     9.056     8.791     M4.0V		    
G106-036     G 106-36				 PM* 06 17 10.6373672064 +05 07 02.671624848 -206.080 161.214	  52.1391      12.700	 14.906    13.325    12.852	    ~	 9.088     8.559     8.267     M3.5V		    
G119-064     BD+36 2165 			 PM* 11 12 47.9997679646 +35 43 43.885058670 70.996 -510.835	  7.2771     -196.25	 10.19     9.76      9.34      9.02	 8.791     8.552     8.498     G0		    
G121-012     BD+26 2251 			 PM* 11 44 35.7049511770 +25 32 11.689104807 -518.703 -44.669	  6.8866      198.744003 10.82  	~    9.9	    ~	 9.290     9.022     8.963     F6		    
G143-035     G 143-35				 PM* 20 11 13.2593001215 +16 11 07.990387339 -417.298 399.608	  48.9282     -49.000	 15.55     13.932    13.774	    ~	 9.627     9.108     8.883     M4.0V		    
G156-031     V* EZ Aqr  			 Er* 22 38 33.576000 -15 17 59.75700	       2314.8 2295.3	  293.600    6824.7	 14.33     12.38     12.12     8.677	 6.553     5.954     5.537     M5V		    
G159-050     BD-01 306  			 PM* 02 14 40.2989460555 -01 12 05.123909214 995.507 -80.301	  16.2993      28.117	 9.631     9.066     8.712     8.377	 7.899     7.589     7.520     G0		    
G171-010     Ross 248				 BY* 23 41 55.0363002516 +44 10 38.818911116 112.527 -1591.650    316.4812    -77.51	 14.19  	~    11.1	    ~	 6.884     6.247     5.929     M5.0V		    
G176-053     BD+51 1696 			 Pe* 11 46 35.1556060454 +50 52 54.680145444 -868.720 -544.104    14.1593      64.447502 10.47  	~    9.5	    ~	 8.678     8.375     8.306     sdG0		    
G180-024     BD+42 2667 			 Pe* 16 03 13.2988107325 +42 14 46.651500150 -195.649 -365.198    8.4881     -151.102005 10.33  	~    9.6	    ~	 8.822     8.517     8.491     F5		    
G272-119     G 272-119  			 PM* 01 54 20.9600336474 -15 43 48.216008429 303.303 -136.211	  26.7855      -1.69	 16.0	   13.805    12.765    11.508	 10.255    9.715     9.434     M3		    
GJ_768.1 B   * omi Aql B			 PM* 19 51 00.6804816096 +10 24 39.852939708 263.941 -116.171	  51.3735    	       ~      ~    13.7      12.72	    ~	 8.888     8.30      8.01      M3.5V		    
HD000004     HD 4				 PM* 00 05 09.2333045736 +30 19 44.508493740 -36.824 -32.217	  6.6244       -7.44	 8.17	   7.77 	  ~	    ~	 6.965     6.809     6.785     F0		    
HD000070     HD 70				 PM* 00 05 41.6710005864 +58 18 47.732582556 64.312 -163.304	  21.3341     -27.948	      ~ 	~    7.8	    ~	 7.056     6.814     6.725     G0		    
HD000101     HD 101				 PM* 00 05 54.7486323216 +18 14 06.026302140 -150.855 -147.978    26.6978     -45.378	 8.010  	~    7.1	    ~	 6.332     6.080     6.034     F8		    
HD000153     HD 153				 PM* 00 06 26.0245156200 +42 45 09.885919032   76.673 -1.663	  9.0492      -31.38	 8.97	   8.36 	  ~	    ~	 7.190     6.973     6.866     G1V		    
HD000245     HD 245				 SB* 00 08 50.8113967803 +86 47 16.384997325  331.345 -6.533	  17.6557     -79.8	 9.02		~    8.0	    ~	 7.268     6.935     6.858     G0		    
HD000249     HD 249				 PM* 00 07 22.5625187496 +26 27 02.164594788 130.110 -117.499	  7.7328       16.847300 8.33		~    11.6	    ~	 5.536     4.990     4.879     K0		    
