HD191026      m0754V
HD191046      m0755V
HD192907      m0756V
HD345957      m0757V
HD192577      m0758V
HD192640      m0759V
HD192909      m0760V
HD193281      m0761V
HD194598      m0762V
HD194943      m0763V
HD196502      m0764V
HD195633      m0765V
HD195838      m0766V
HD196544      m0767V
HD196755      m0768V
HD197177      m0769V
HD197572      m0770V
HD197461      m0771V
HD198149      m0772V
HD197989      m0773V
HD197964      m0774V
HD198183      m0775V
HD198001      m0776V
BD+04_4551    m0777V
HD199191      m0779V
HD199799      m0781V
HD200580      m0783V
HD200905      m0784V
HD200779      m0785V
HD200790      m0786V
HD201078      m0787V
HD201091      m0788V
HD201601      m0789V
HD201891      m0790V
HD201889      m0791V
HD202109      m0792V
HD202447      m0793V
HD202671      m0794V
HD203638      m0795V
HD204041      m0796V
HD204075      m0797V
HD204155      m0798V
HD204613      m0799V
HD205021      m0800V
HD204381      m0801V
HD204754      m0802V
HD204543      m0803V
HD204587      m0804V
HD205435      m0805V
HD205153      m0806V
HD205512      m0807V
HD206078      m0808V
HD206165      m0809V
HD206952      m0810V
HD206453      m0811V
HD207130      m0812V
HD206826      m0813V
HD206778      m0814V
HD207076      m0816V
HD207330      m0817V
HD207222      m0818V
HD207673      m0819V
HD208501      m0820V
HD208906      m0821V
HD209369      m0822V
HD209459      m0823V
HD209975      m0824V
HD210295      m0825V
HD210424      m0826V
HD210745      m0827V
HD210595      m0828V
HD210705      m0829V
HD211075      m0830V
HD212454      m0831V
HD212943      m0832V
HD213119      m0833V
HD213042      m0835V
HD214080      m0837V
G156-031      m0838V
HD214567      m0839V
HD214714      m0840V
HD214994      m0841V
BD+39_4926    m0842V
HD215648      m0843V
HD216228      m0844V
HD216174      m0845V
HD216131      m0846V
HD216143      m0847V
HD216219      m0848V
HD216385      m0849V
HD217382      m0850V
HD216640      m0851V
HD216831      m0852V
HD216916      m0853V
HD217014      m0854V
HD217107      m0855V
HD217754      m0856V
HD218031      m0857V
HD218235      m0858V
HD218329      m0859V
HD218502      m0860V
HD218640      m0861V
HD218804      m0862V
HD218857      m0863V
HD219134      m0864V
BD+38_4955    m0866V
HD219449      m0867V
HD219623      m0868V
HD219617      m0869V
HD219615      m0870V
HD219734      m0871V
HD219916      m0872V
HD220009      m0874V
HD220575      m0875V
BD+59_2723    m0876V
HD220825      m0877V
HD220933      m0878V
HD220954      m0879V
HD221170      m0880V
HD221148      m0881V
HD221345      m0882V
HD221377      m0883V
HD221756      m0885V
HD221830      m0886V
HD222404      m0887V
HD222368      m0888V
HD222451      m0889V
G171-010      m0890V
HD223047      m0891V
HD223524      m0893V
HD223640      m0894V
HD224458      m0895V
BD+61_2575    m0896V
NGC288_77     m0897V
HD020902      m0898V
Mel22_0296    m0899V
Mel22_2462    m0900V
HD025825      m0901V
HD026736      m0902V
HD284253      m0903V
HD027524      m0905V
HD027561      m0906V
HD027962      m0907V
HD028483      m0908V
HD028546      m0909V
HD029375      m0910V
HD030034      m0911V
HD030676      m0913V
HD031236      m0914V
M79_153       m0915V
M79_160       m0916V
M79_223       m0917V
NGC2420_140   m0918V
M67_F-108     m0919V
HD107276      m0920V
HD107513      m0921V
HD109307      m0922V
M3_IV-25      m0923V
M3_III-28     m0924V
M3_398        m0925V
M5_III-03     m0926V
M5_II-76      m0928V
M5_IV-19      m0930V
M4_LEE-2303   m0933V
M13_B-786     m0935V
M92_IV-114    m0936V
M92_III-13    m0937V
HD170764      m0938V
HD170820      m0939V
M71_1-109     m0945V
M71_1-95      m0946V
M71_1-107     m0947V
M71_1-75      m0948V
M71_1-73      m0949V
M71_1-71      m0951V
M71_KC-263    m0952V
M71_1-87      m0953V
M71_1-66      m0954V
M71_1-65      m0955V
M71_1-64      m0956V
M71_1-21      m0958V
M71_1-37      m0959V
M71_1-41      m0960V
M71_1-39      m0962V
M71_KC-169    m0965V
M71_A2        m0966V
M71_1-77      m0967V
M71_1-78      m0968V
M71_AH-S      m0969V
NGC7789_329   m0972V
NGC7789_468   m0973V
NGC7789_342   m0974V
NGC7789_353   m0975V
NGC7789_415   m0976V
NGC7789_461   m0977V
NGC7789_501   m0978V
NGC7789_575   m0979V
NGC7789_637   m0980V
NGC7789_765   m0981V
NGC7789_859   m0982V
NGC7789_875   m0983V
NGC7789_897   m0984V
