m0253V   4598.0   2.55  -0.39   284.4  0.120  0.120   1
m0440V   4600.0   2.00  -0.91   233.8  0.390  0.390   1
m0187V   4346.0   1.33  -1.44   195.7  0.320  0.320   1
m0881V   4607.0   2.81   0.21   236.6 -0.070 -0.070   1
m0601V   4667.0   2.50  -0.50   196.7  0.410  0.410   1
m0305V   4514.0   2.20   0.05   322.5  0.020  0.020   1
m0052V   4650.0   2.53   0.03   273.0  0.140  0.140   1
m0880V   4508.0   1.02  -2.10   252.1  0.640  0.640   1
m0810V   4624.0   2.58   0.13   244.8  0.070  0.070   1
m0122V   4582.0   1.75  -0.60   189.5  0.310  0.310   1
m0939V   4595.9   1.96  -0.17   216.2  0.140  0.140   0
m0489V   4707.0   2.49   0.00   220.1  0.110  0.110   1
m0879V   4714.0   2.59   0.05   251.5  0.170  0.170   1
m0433V   4684.0   2.38  -0.54   103.0  0.390  0.390   1
m0807V   4653.0   2.40  -0.02   211.3  0.100  0.100   1
m0309V   4571.0   1.10  -1.39   169.1  0.550  0.550   1
m0209V   4605.0   2.35  -0.52   205.4  0.050  0.050   1
m0882V   4704.0   2.52  -0.30   297.2  0.230  0.230   1
m0367V   4394.0   0.90  -2.34   150.9  0.480  0.480   1
m0586V   4844.0   3.64   0.15   149.8  0.200  0.200   1
m0139V   4433.0   1.00  -1.77   158.2  0.360  0.360   1
m0683V   4663.0   1.77  -0.82   197.1  0.450  0.450   1
m0925V   4667.8   0.76  -1.51    45.9  0.460  0.460   0
m0808V   4671.2   2.46  -0.59   217.9  0.320  0.320   0
m0847V   4475.0   1.02  -2.20   285.8  0.430  0.430   1
m0057V   4608.0   1.43  -1.71   335.4  0.570  0.570   1
m0354V   4527.0   1.31  -1.46   254.8  0.430  0.430   1
m0196V   4594.0   2.52  -0.81   322.8  0.290  0.290   1
m0660V   4916.0   3.41   0.06   112.0  0.220  0.220   1
m0225V   4779.0   3.00   0.15   222.9  0.050  0.050   1
m0844V   4779.0   2.61   0.01   398.6  0.070  0.070   1
m0857V   4716.0   2.46  -0.13   269.8  0.090  0.090   1
m0496V   4625.0   1.45  -1.72   480.7  0.480  0.480   1
m0207V   4755.0   1.70  -0.30   193.8  0.090  0.090   1
m0476V   4728.0   2.31  -0.46   291.2  0.300  0.300   1
m0773V   4755.0   2.57  -0.13   366.4  0.090  0.090   1
m0278V   4700.0   1.90  -0.76   140.2  0.400  0.400   1
m0244V   4702.0   2.45  -0.35   250.2  0.030  0.030   1
m0812V   4750.0   2.56   0.02   201.0  0.070  0.070   1
m0005V   4790.0   2.95  -0.08   213.1  0.120  0.120   1
m0672V   4784.0   2.30  -0.41   266.6  0.360  0.360   1
m0779V   4762.0   2.25  -0.70   242.9  0.370  0.370   1
m0178V   4720.0   1.60  -0.67   171.5  0.260  0.260   1
m0526V   4440.0   2.68   0.32   182.8  0.160  0.160   1
m0533V   4317.0   2.06   0.18   211.6  0.100  0.100   1
m0319V   4618.0   1.61  -1.40   221.1  0.500  0.500   1
m0730V   4754.8   2.50  -0.27    10.0  0.190  0.190   0
m0184V   4761.0   2.63  -0.53   241.6  0.110  0.110   1
m0241V   4905.0   4.62  -0.26   123.2  0.330  0.330   1
m0009V   4804.0   2.67   0.06   189.4  0.120  0.120   1
m0346V   4733.0   2.50  -0.68   400.5  0.310  0.310   1
m0745V   4815.0   2.64   0.02   200.9  0.110  0.110   1
m0493V   4587.0   1.17  -2.67   160.2  0.330  0.330   1
m0376V   4546.0   1.08  -2.81   122.4  0.020  0.020   1
m0315V   4676.0   2.53  -0.02   245.3  0.020  0.020   1
m0803V   4642.0   1.36  -1.83   228.1  0.460  0.460   1
m0349V   5118.0   3.41  -0.34   179.6  0.160  0.160   1
m0825V   4791.0   1.94  -1.32   162.2  0.460  0.460   1
m0512V   4792.0   2.30  -0.53   175.8  0.340  0.340   1
m0895V   4801.4   2.30  -0.22   221.5  0.060  0.060   0
m0254V   4779.0   2.40  -0.10   303.1  0.040  0.040   1
m0311V   4807.4   2.84  -0.08   241.4  0.080  0.080   0
m0270V   4808.0   2.64  -0.03   339.9  0.000  0.000   1
m0665V   5173.0   2.18  -1.24   220.2  0.740  0.740   1
m0194V   4796.0   2.59  -0.01   270.5  0.020  0.020   1
m0174V   4899.0   3.04  -0.30   216.1  0.190  0.190   1
m0675V   4917.0   3.05  -0.20   261.4  0.120  0.120   1
