X0188V  5132.0   2.59   -0.04      0    0.00    0.00 HD62968             
X0189V  7799.0   3.82    0.16      0    0.00    0.00 HD64630             
X0191V  7931.0   2.61   -0.19      0    0.00    0.00 HD65372             
X0193V  4792.0   2.64    0.02      0    0.00    0.00 HD66776             
X0194V  3721.0   1.19   -0.31      0    0.00    0.00 HD69701             
X0195V  4476.0   2.04   -0.59      0    0.00    0.00 HD70138             
X0196V  4047.0   1.78    0.00   4096    0.91   -0.05 HD71160             
X0197V  7725.0   3.48   -0.20      0    0.00    0.00 HD71310             
X0198V  4778.0   2.63    0.14      0    0.00    0.00 HD71497             
X0199V  9569.0   3.67    0.44      0    0.00    0.00 HD72968             
X0203V  4276.0   1.83    0.02      0    0.00    0.00 HD74166             
X0208V  3848.0   1.67   -0.02      0    0.00    0.00 HD79349             
X0068V  3063.0   0.57   -0.36      0    0.00    0.00 CMCar               
X0422V  2802.0   4.91   -1.77      0    0.00    0.00 IRAS09484m6242      
X0212V  5956.0   3.98    0.02   6085    4.17    0.11 HD85380             
X0587V  3675.0   0.87   -0.17      0    0.00    0.00 IRAS10151m6008?     
X0215V  4039.0   1.59   -0.58      0    0.00    0.00 HD90862             
X0033V  4638.0   1.23   -1.65   4500    0.40   -1.51 BDp302034           
X0032V  5763.0   4.09   -1.97   5774    4.52   -1.96 BDp292091           
X0047V  4097.0   0.32   -1.03      0    0.00    0.00 CIVel               
X0219V 19543.0   3.39   -0.02      0    0.00    0.00 HD96446             
X0479V  3213.0   0.81   -0.50      0    0.00    0.00 UCrt                
X0222V  7018.0   4.04    0.18      0    0.00    0.00 HD99329             
X0223V  5412.0   4.34    0.31   5457    4.40    0.30 HD99491             
X0014V  5084.0   1.99   -1.87   4991    1.43   -1.97 BDp042466           
X0481V  6492.0   2.42    0.27      0    0.00    0.00 UZCen               
X0404V  6174.0   3.97   -2.18   6238    2.80   -2.84 HE1142m1422         
X0430V  4801.0   4.60   -1.79      0    0.00    0.00 LHS2463             
X0484V  3113.0   1.35   -0.23      0    0.00    0.00 V354Cen             
X0427V  3489.0   4.85   -0.57      0    0.00    0.00 LHS320              
X0405V  5729.0   3.59   -2.61      0    0.00    0.00 HE1201m1512         
X0228V  4398.0   0.81   -2.25   4417    1.02   -1.92 HD104893            
X0406V  6217.0   3.95   -2.29      0    0.00    0.00 HE1204m0744         
X0407V  5435.0   3.24   -2.65   5294    2.85   -2.70 HE1207m3108         
X0631V  4431.0   0.99   -1.78   4383    1.10   -1.30 NGC4147230          
X0230V  8759.0   3.16   -1.67      0    0.00    0.00 HD106304            
X0236V  4460.0   0.95   -2.34   4315    0.55   -2.40 HD110184            
X0487V  3080.0   0.58   -0.35      0    0.00    0.00 VCrv                
X0013V  4747.0   1.43   -1.27   4300    0.00   -1.42 BDp032688           
X0238V  5384.0   4.39   -0.63   5431    4.52   -0.58 HD111515            
X0240V  5039.0   2.66   -1.34   5043    2.66   -1.23 HD111721            
X0428V  4492.0   4.56   -1.57      0    0.00    0.00 LHS343              
X0242V  6033.0   0.63   -0.65      0    0.00    0.00 HD112374            
X0243V  5062.0   1.95   -1.06   5274    2.36   -0.82 HD113002            
X0409V  4501.0   4.62   -1.14   4526    4.45   -1.25 HIP64965            
X0080V  6129.0   4.16   -1.55   6078    4.17   -1.57 G063m026            
X0632V  4520.0   1.47   -1.18   4400    1.60   -1.45 NGC51391627         
X0055V  5200.0   1.00   -1.77   5200    1.00   -1.77 CL_NGC5139SAWV1     
X0248V  6687.0   2.31   -1.33      0    0.00    0.00 HD116745            
X0583V  3593.0   0.14   -0.44      0    0.00    0.00 NGC51393812         
X0249V  8843.0   3.23   -1.65      0    0.00    0.00 HD117880            
X0410V  3706.0   4.77   -0.49      0    0.00    0.00 HIP66993            
X0252V  4638.0   4.69   -0.01   4751    4.51    0.13 HD119802            
X0253V  3521.0   4.79   -0.25      0    0.00    0.00 HD119850            
X0408V  6030.0   3.84   -2.42   6255    4.08   -3.58 HE1346m0427         
X0019V  5369.0   2.57   -1.58      0    0.00    0.00 BDp092860           
X0020V  4664.0   1.47   -2.34   4599    1.36   -2.39 BDp092870           
X0411V  3968.0   4.63   -0.17      0    0.00    0.00 HIP70472            
X0257V  7617.0   3.38    0.38      0    0.00    0.00 HD126661            
X0423V  2947.0   0.56   -0.59      0    0.00    0.00 IRAS14303m1042      
X0611V  4158.0   1.02   -1.23   4084    0.74   -1.15 CL_NGC5904ArpIIIm03 
X0618V  4242.0   1.07   -1.23      0    0.00    0.00 CL_NGC5904ArpIVm19  
X0412V  3499.0   4.80    0.00      0    0.00    0.00 HIP75423            
X0488V  3368.0   1.04   -0.37      0    0.00    0.00 XLib                
X0270V  8077.0   3.93    0.42      0    0.00    0.00 HD140232            
X0269V  6618.0   1.35    0.21   5568    1.13    0.17 HD139717            
X0272V  4445.0   1.00   -1.65   4362    0.87   -1.69 HD141531            
X0277V  4172.0   0.39   -1.53   4165    0.20   -1.80 HD144921            
X0069V  5884.0   1.09    0.10      0    0.00    0.00 CPDm5307400f        
X0278V 10044.0   3.82   -0.26      0    0.00    0.00 HD147550            
X0057V  4467.0   1.65   -1.20   4290    1.60   -1.28 CL_NGC6121LEE2626   
X0058V  4756.0   1.41   -1.26   4773    1.48   -1.21 CL_NGC6121LEE4302   
X0059V  3938.0   1.15   -0.98      0    0.00    0.00 CL_NGC6121LEE4611   
X0060V  3953.0   1.06   -1.03      0    0.00    0.00 CL_NGC6121LEE4613   
X0081V  5805.0   4.20   -1.39      0    0.00    0.00 G169m28             
X0075V  4185.0   4.62   -0.45   4369    4.62   -0.55 G019m013            
X0413V  3325.0   4.90   -0.36      0    0.00    0.00 HIP84123            
X0046V 19879.0   3.46   -0.03      0    0.00    0.00 CDm691618           
X0042V  4619.0   2.65    0.05   4717    2.52    0.16 CDm4911404          
X0451V  3010.0   0.41    0.22      0    0.00    0.00 RRAra               
X0071V  3116.0   0.21   -0.36      0    0.00    0.00 FRHer               
X0282V  6237.0   3.41    0.08      0    0.00    0.00 HD160365            
X0281V  4926.0   4.68    0.02   4912    4.51    0.00 HD160346            
X0624V  4310.0   0.64   -2.06   4178    0.67   -2.10 NGC6397211          
X0285V  8568.0   4.39   -0.03      0    0.00    0.00 HD161370            
X0076V  6161.0   4.25   -1.46   5905    4.29   -1.55 G20m15              
X0286V  5811.0   3.84   -1.53      0    0.00    0.00 HD161770            
X0483V  3023.0   0.66   -0.52      0    0.00    0.00 V348Sco             
X0478V  3338.0   1.27   -0.57      0    0.00    0.00 SYPav               
X0446V  3546.0   1.08   -0.55      0    0.00    0.00 OGLEIIDIABULmSC03394
X0445V  3315.0   0.58   -0.40      0    0.00    0.00 OGLEIIDIABULmSC03189
X0001V  4723.0   2.03   -0.04      0    0.00    0.00 2MASSJ17535707m29314
X0447V  3533.0   1.18   -0.50      0    0.00    0.00 OGLEIIDIABULmSC04900
X0289V 12289.0   3.93    0.20      0    0.00    0.00 HD163641            
X0290V  5706.0   4.43   -1.21   5468    4.30   -1.28 HD163810            
X0291V  6792.0   3.86    0.15      0    0.00    0.00 HD164115            
X0292V 10885.0   3.67    0.73      0    0.00    0.00 HD164257            
X0444V  3438.0   1.16   -0.47      0    0.00    0.00 OGLEIIDIABULmSC01182
X0573V  3368.0   0.23   -0.45      0    0.00    0.00 BMB13               
X0294V  9351.0   4.52   -0.29      0    0.00    0.00 HD164967            
X0064V  4300.0   2.38   -0.13      0    0.00    0.00 CL_NGC6522ARP4126   
X0065V  4321.0   1.72   -0.88   4370    1.60   -0.85 CL_NGC6522Arp4329   
X0485V  3224.0   0.50   -0.21      0    0.00    0.00 V5475Sgr            
X0063V  3813.0   1.59   -0.44      0    0.00    0.00 CL_NGC6522ARP3190   
X0002V  4250.0   2.55    0.45   4359    2.51    0.28 2MASSJ18033716m29542
X0061V  4478.0   2.53    0.33      0    0.00    0.00 CL_NGC6522ARP1021   
X0062V  3817.0   1.56   -0.20      0    0.00    0.00 CL_NGC6522ARP1073   
X0008V  3453.0   0.67   -0.12      0    0.00    0.00 _B86_133            
X0575V  3384.0   0.29   -0.24      0    0.00    0.00 BMB245              
X0296V  8297.0   3.62   -0.04      0    0.00    0.00 HD165887            
X0639V  4644.0   2.34   -0.31      0    0.00    0.00 2MASSJ18092055m31470
X0642V  4759.0   2.93   -0.46      0    0.00    0.00 2MASSJ18092323m31410
X0628V  4361.0   2.81    0.23      0    0.00    0.00 2MASSJ18093159m31503
X0634V  4545.0   2.59    0.23      0    0.00    0.00 2MASSJ18093344m31452
X0298V  8296.0   3.94    0.04      0    0.00    0.00 HD166283            
X0489V  3353.0   0.69   -0.14      0    0.00    0.00 XZHer               
X0299V  6521.0   4.22   -0.13   6491    3.82   -0.24 HD167278            
X0300V 10079.0   4.09   -0.47      0    0.00    0.00 HD167946            
X0452V  3187.0   0.83   -0.23      0    0.00    0.00 RYCrA               
X0301V  8301.0   3.48   -0.04      0    0.00    0.00 HD169032            
X0302V  4740.0   2.51   -0.08      0    0.00    0.00 HD170413            
X0303V  5274.0   1.39   -1.36      0    0.00    0.00 HD170756            
X0304V 15500.0   3.63    0.29      0    0.00    0.00 HD170783            
X0306V  4640.0   2.04   -0.24      0    0.00    0.00 HD170899            
X0307V  8070.0   3.95    0.06      0    0.00    0.00 HD171234            
X0308V  4385.0   2.15   -0.74      0    0.00    0.00 HD171367            
X0615V  4192.0   2.54    0.36      0    0.00    0.00 2MASSJ18351420m34380
X0003V  4528.0   2.55   -0.31      0    0.00    0.00 2MASSJ18351799m34280
X0004V  4631.0   2.52   -0.09      0    0.00    0.00 2MASSJ18352206m34291
X0005V  4879.0   1.54   -1.55      0    0.00    0.00 2MASSJ18352834m34440
X0006V  4287.0   1.86   -0.83      0    0.00    0.00 2MASSJ18355679m34344
X0310V  7610.0   3.44    0.56      0    0.00    0.00 HD172230            
X0312V  4931.0   1.69   -0.05      0    0.00    0.00 HD172472            
X0314V  8752.0   3.31    0.06      0    0.00    0.00 HD172522            
X0313V  7096.0   4.02   -0.02      0    0.00    0.00 HD172506            
X0315V  8400.0   3.45   -0.26      0    0.00    0.00 HD173073            
X0316V  5268.0   0.95    0.22      0    0.00    0.00 HD173158            
X0317V  8052.0   3.46    0.36      0    0.00    0.00 HD173369            
X0486V  3228.0   0.31    0.05      0    0.00    0.00 V874Aql             
X0318V  8841.0   4.06   -0.23      0    0.00    0.00 HD173669            
X0077V  4088.0   4.62   -0.20   4134    4.68   -0.04 G021m024            
X0035V  3360.0   1.05   -0.45      0    0.00    0.00 BHTel               
X0319V  9262.0   3.65   -0.40      0    0.00    0.00 HD174240            
X0320V  4781.0   2.36   -0.01      0    0.00    0.00 HD174350            
X0321V  6743.0   2.99   -0.16      0    0.00    0.00 HD174512            
X0322V  7971.0   3.93    0.04      0    0.00    0.00 HD174866            
X0323V  7697.0   3.91    0.08      0    0.00    0.00 HD174966            
X0324V  7862.0   3.01   -0.27      0    0.00    0.00 HD175058            
X0325V  5026.0   2.54   -0.08      0    0.00    0.00 HD175181            
X0326V  4289.0   2.59    0.33      0    0.00    0.00 HD175376            
X0327V  4454.0   2.88    0.08   4471    2.20    0.11 HD175545            
X0329V  6265.0   3.99    0.26   6408    3.72    0.39 HD175805            
X0332V  4977.0   2.74    0.08      0    0.00    0.00 HD176698            
X0333V  6834.0   3.70    0.42      0    0.00    0.00 HD176851            
X0334V  5857.0   1.07    0.18      0    0.00    0.00 HD178287            
X0335V  5940.0   1.17    0.25      0    0.00    0.00 HD179315            
X0336V  4846.0   2.13    0.09      0    0.00    0.00 HD179870            
X0337V  7123.0   3.83    0.10      0    0.00    0.00 HD180086            
X0338V  7004.0   3.85   -0.09      0    0.00    0.00 HD183085            
X0339V  5935.0   3.15   -1.13   5750    2.00   -1.63 HD184266            
X0340V  6465.0   4.06   -0.03      0    0.00    0.00 HD184571            
X0341V  7023.0   4.13    0.09      0    0.00    0.00 HD185094            
X0414V  3665.0   4.74   -0.06      0    0.00    0.00 HIP96710            
X0342V  4716.0   1.57   -2.31   4617    1.18   -2.58 HD186478            
X0490V  3057.0   0.37   -0.25      0    0.00    0.00 YSge                
X0067V  4140.0   1.55   -0.92   4200    1.20   -0.83 CL_NGC6838AHA9      
X0643V  4773.0   2.48   -0.84      0    0.00    0.00 NGC68381075         
X0640V  4729.0   2.31   -0.88      0    0.00    0.00 NGC68381073         
X0627V  4326.0   1.79   -0.90      0    0.00    0.00 NGC68381071         
X0616V  4218.0   1.62   -0.86      0    0.00    0.00 NGC68381066         
X0344V  5878.0   3.20    0.22      0    0.00    0.00 HD188262            
X0637V  4611.0   1.64   -0.85      0    0.00    0.00 NGC68381063         
X0635V  4555.0   2.05   -0.86      0    0.00    0.00 NGC68381037         
X0648V  4996.0   2.13   -0.94      0    0.00    0.00 NGC68381039         
X0633V  4520.0   1.48   -0.88      0    0.00    0.00 NGC68381009         
X0612V  4167.0   1.55   -0.86   4296    1.40   -0.77 NGC68381053         
X0066V  4690.0   2.47   -0.82      0    0.00    0.00 CL_NGC6838AHA2      
X0346V  4962.0   1.82   -0.04      0    0.00    0.00 HD189511            
X0078V  6062.0   4.17   -1.54   5961    4.62   -1.53 G024m003            
X0349V  6672.0   3.89    0.27      0    0.00    0.00 HD191709            
X0415V  3842.0   4.61   -0.10      0    0.00    0.00 HIP100047           
X0350V  7318.0   4.00    0.09      0    0.00    0.00 HD193225            
X0352V  5127.0   2.80   -0.26      0    0.00    0.00 HD193326            
X0482V  3430.0   1.27   -0.61      0    0.00    0.00 V335Aql             
X0353V  5206.0   2.55   -0.07   4969    1.96   -0.17 HD193896            
X0354V 10541.0   3.77   -0.02      0    0.00    0.00 HD194453            
X0355V  8143.0   3.60    0.08      0    0.00    0.00 HD195729            
X0356V  7246.0   3.89    0.02      0    0.00    0.00 HD196125            
X0357V  6200.0   4.15   -0.15   6162    4.19   -0.10 HD196218            
X0358V 13265.0   3.87    0.23      0    0.00    0.00 HD196426            
X0359V  6004.0   4.04   -1.04   5909    4.10   -1.01 HD196892            
X0041V  6189.0   4.09   -1.86   6214    3.79   -2.03 CDm3018140          
X0036V  5933.0   3.81   -2.43   4745    1.25   -4.07 BPSCS30336m049      
X0416V  3239.0   5.00   -0.26      0    0.00    0.00 HIP103039           
X0024V  4941.0   2.17   -2.06   4792    1.86   -2.27 BDm145890           
X0360V  5708.0   3.74    0.19   5019    2.98    0.02 HD200081            
X0361V  4428.0   2.81    0.12      0    0.00    0.00 HD200494            
X0045V  5163.0   1.96   -1.54      0    0.00    0.00 CDm621346           
X0363V  4880.0   2.74    0.05      0    0.00    0.00 HD201053            
X0364V  4818.0   4.63    0.07   4829    4.14    0.00 HD201237            
X0365V  8208.0   3.85    0.03      0    0.00    0.00 HD201377            
X0366V  4850.0   1.75   -1.75      0    0.00    0.00 HD201626            
X0082V  5846.0   4.27   -1.51   5950    4.87   -1.26 G187m40             
X0638V  4638.0   1.35   -2.35   4695    1.55   -2.37 NGC70781079         
X0371V  6568.0   4.09   -0.46      0    0.00    0.00 HD205202            
X0372V  7257.0   3.70    0.22      0    0.00    0.00 HD205555            
X0373V  7939.0   3.66   -0.01      0    0.00    0.00 HD205734            
X0083V  6074.0   4.14   -1.34   6002    4.36   -1.28 G188m22             
X0022V  4716.0   1.56   -1.77      0    0.00    0.00 BDm095831           
X0375V  5302.0   4.57    0.13      0    0.00    0.00 HD207795            
X0376V  3731.0   4.73   -0.15      0    0.00    0.00 HD209290            
X0070V  3115.0   0.77   -0.51      0    0.00    0.00 DGPeg               
X0074V  6095.0   4.15   -1.42   6109    4.18   -1.40 G018m039            
X0379V  3692.0   1.34   -0.37      0    0.00    0.00 HD212516            
X0382V  5006.0   2.97    0.16   5136    3.37    0.43 HD215578            
X0385V  3958.0   4.60   -0.08   4098    4.82    0.14 HD217357            
X0386V  5877.0   4.15   -0.18   5977    4.35   -0.12 HD217877            
X0388V  4761.0   4.50    0.17   4867    4.59    0.32 HD218566            
X0079V  6132.0   4.08   -1.69   6085    3.78   -1.84 G029m023            
X0390V  4607.0   1.29   -1.81   4563    1.48   -1.69 HD220662            
X0391V  4445.0   1.03   -1.75   4402    1.12   -1.76 HD220838            
X0392V  5867.0   3.91    0.15      0    0.00    0.00 HD221149            
X0394V  4504.0   1.12   -1.81   4522    1.25   -1.75 HD222434            
X0424V  3827.0   0.68   -0.52      0    0.00    0.00 ISOmMCMSJ004950.3m73
X0091V  6153.0   4.25   -0.14   6208    4.39   -0.12 HD4813              
X0425V  4391.0   1.05   -0.58      0    0.00    0.00 ISOmMCMSJ005332.4m73
X0426V  3847.0   0.99   -0.58      0    0.00    0.00 ISOmMCMSJ005622.2m73
X0106V  4699.0   4.58   -0.21   4870    4.57   -0.13 HD16160             
X0116V  4805.0   2.69    0.09   4859    2.84    0.11 HD19787             
X0128V  7360.0   4.07    0.07      0    0.00    0.00 HD29391             
X0131V  4452.0   2.27   -0.26   4435    2.35   -0.19 HD31421             
X0132V  4525.0   0.91   -0.01   4590    1.34    0.19 HD33299             
X0449V  4118.0   1.36   -0.61      0    0.00    0.00 _PHS2008_RGB522     
X0463V  3936.0   0.24   -0.43      0    0.00    0.00 SHV0522380m691255   
X0466V  3752.0   0.67   -0.28      0    0.00    0.00 SHV0526364m693639   
